Method,Scaler,Oversampler,MeanAccuracy,SdAccuracy,MeanF1-Score,SdF1-Score,MeanRecall,SdRecall
Neural Network,NoScaler,NoOversampling,0.8302097466081404,0.012215265032969411,0.8172435766908391,0.014376030252199412,0.8302097466081404,0.012215265032969411
Neural Network,NoScaler,SMOTE,0.8875460574797348,0.0086628034486959,0.8847372395578145,0.00924192073600952,0.8875460574797348,0.0086628034486959
Neural Network,NoScaler,RandomOverSampler,0.8830140014738393,0.011203239348202484,0.8805648988443435,0.011946375872182176,0.8830140014738393,0.011203239348202484
Neural Network,NoScaler,BorderlineSMOTE,0.9079693486590038,0.0054327826657914954,0.9070413172436739,0.005979641192378505,0.9079693486590038,0.0054327826657914954
Neural Network,NoScaler,KMeansSMOTE,0.9265497844253163,0.009258415706653632,0.925108437093767,0.01010929516326449,0.9265497844253163,0.009258415706653632
Neural Network,StandardScaler,NoOversampling,0.8842717478052673,0.005893638607985609,0.8749694439793329,0.010256433274470704,0.8842717478052673,0.005893638607985609
Neural Network,StandardScaler,SMOTE,0.9542004421518054,0.00536308451173539,0.9538699744440085,0.00549549171375688,0.9542004421518054,0.00536308451173539
Neural Network,StandardScaler,RandomOverSampler,0.9765659543109801,0.004288087406330494,0.9764022640532494,0.004335686529824939,0.9765659543109801,0.004288087406330494
Neural Network,StandardScaler,BorderlineSMOTE,0.9629885057471265,0.005302604477541199,0.9628096565026565,0.0052966722220278055,0.9629885057471265,0.005302604477541199
Neural Network,StandardScaler,KMeansSMOTE,0.9755550801075452,0.006074942389165308,0.975450435971354,0.006067742845783793,0.9755550801075452,0.006074942389165308
Neural Network,RobustScaler,NoOversampling,0.8827065043894653,0.00558940792397145,0.8703083840509207,0.006275586792105518,0.8827065043894653,0.00558940792397145
Neural Network,RobustScaler,SMOTE,0.954753131908622,0.006137483642313675,0.9545773699977078,0.006354523553636278,0.954753131908622,0.006137483642313675
Neural Network,RobustScaler,RandomOverSampler,0.9697126013264553,0.007392740577146314,0.9693878603692891,0.007384967954996045,0.9697126013264553,0.007392740577146314
Neural Network,RobustScaler,BorderlineSMOTE,0.962528735632184,0.008754265265973463,0.9623347830809947,0.008779733091845588,0.962528735632184,0.008754265265973463
Neural Network,RobustScaler,KMeansSMOTE,0.9671752447653507,0.005964782877812436,0.9669150474317405,0.006183252829844081,0.9671752447653507,0.005964782877812436
Neural Network,QuantileTransformer,NoOversampling,0.8889657322426177,0.006137651471984274,0.8818117519533425,0.008171924248384782,0.8889657322426177,0.006137651471984274
Neural Network,QuantileTransformer,SMOTE,0.964554163596168,0.0036746364964081062,0.964451925527937,0.0037216019886709634,0.964554163596168,0.0036746364964081062
Neural Network,QuantileTransformer,RandomOverSampler,0.9861090641120118,0.003667239877603186,0.9859325368664104,0.0037104028953544024,0.9861090641120118,0.003667239877603186
Neural Network,QuantileTransformer,BorderlineSMOTE,0.9698850574712644,0.008575359748779087,0.9697547744351407,0.008527961277969344,0.9698850574712644,0.008575359748779087
Neural Network,QuantileTransformer,KMeansSMOTE,0.9736430111390172,0.003877473716898694,0.9735337901818986,0.003913388605281596,0.9736430111390172,0.003877473716898694
